         66773765 function calls (66611606 primitive calls) in 565.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13177    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
      800    0.003    0.000    0.017    0.000 _base.py:537(set_result)
        8    0.003    0.000    0.157    0.020 exposure.py:190(histogram)
     8738    0.003    0.000    0.005    0.000 validate.py:897(is_boolean)
     5197    0.003    0.000    0.005    0.000 header.py:1841(_haswildcard)
 1060/701    0.003    0.000    0.020    0.000 header.py:224(__delitem__)
     2006    0.003    0.000    0.007    0.000 card.py:706(_parse_keyword)
      660    0.003    0.000    0.014    0.000 artist.py:1188(_update_props)
       21    0.003    0.000    0.062    0.003 file.py:432(writearray)
     3252    0.003    0.000    0.003    0.000 _dtype.py:24(_kind_name)
     16/8    0.003    0.000   12.830    1.604 threading.py:995(_bootstrap)
     1608    0.003    0.000    0.032    0.000 connection.py:293(_recv_bytes)
     9837    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.lock' objects}
      800    0.003    0.000    0.180    0.000 process.py:773(submit)
        2    0.003    0.001    0.012    0.006 font_manager.py:1453(_findfont_cached)
     3301    0.003    0.000    0.003    0.000 _util.py:1047(normalize_axis_index)
     2823    0.003    0.000    0.004    0.000 card.py:658(_check_if_rvkc_image)
     3029    0.003    0.000    0.051    0.000 card.py:161(__init__)
6675/5635    0.003    0.000    0.004    0.000 fitsrec.py:486(__getattribute__)
    12114    0.003    0.000    0.003    0.000 {method 'upper' of 'str' objects}
     1600    0.003    0.000    0.105    0.000 _util.py:209(_resolve_neighborhood)
       46    0.003    0.000    0.019    0.000 header.py:351(fromstring)
     8117    0.003    0.000    0.004    0.000 __init__.py:698(_get)
    10518    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
      387    0.003    0.000    0.036    0.000 header.py:1360(insert)
    10494    0.003    0.000    0.004    0.000 {built-in method builtins.hasattr}
      191    0.002    0.000    0.003    0.000 {built-in method nt.stat}
     1995    0.002    0.000    0.002    0.000 {built-in method builtins.locals}
     1608    0.002    0.000    0.005    0.000 _base.py:177(_yield_finished_futures)
       46    0.002    0.000    0.012    0.000 header.py:536(_fromcards)
     1640    0.002    0.000    0.129    0.000 connection.py:252(poll)
     2446    0.002    0.000    0.003    0.000 {method 'update' of 'set' objects}
     3736    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      832    0.002    0.000    0.215    0.000 process.py:83(clear)
     1680    0.002    0.000    0.002    0.000 {method 'release' of '_thread.lock' objects}
      130    0.002    0.000    0.024    0.000 column.py:561(__init__)
1921/1109    0.002    0.000   72.320    0.065 decorators.py:841(__get__)
      901    0.002    0.000    0.005    0.000 queue.py:154(get)
8186/7138    0.002    0.000    0.004    0.000 artist.py:315(stale)
     2045    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:645(parent)
     2080    0.002    0.000    0.012    0.000 column.py:532(__set__)
     6573    0.002    0.000    0.005    0.000 {method '__enter__' of '_thread.lock' objects}
     7305    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      392    0.002    0.000    0.011    0.000 card.py:1110(_verify)
      484    0.002    0.000    0.003    0.000 cbook.py:1742(normalize_kwargs)
      800    0.002    0.000    0.011    0.000 _base.py:81(add_result)
     2006    0.002    0.000    0.004    0.000 card.py:555(fromstring)
      432    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      748    0.002    0.000    0.002    0.000 font_manager.py:1233(score_stretch)
     2650    0.002    0.000    0.009    0.000 header.py:138(__contains__)
      941    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      128    0.002    0.000    0.015    0.000 lines.py:287(__init__)
      336    0.002    0.000    0.004    0.000 artist.py:179(__init__)
     1570    0.002    0.000    0.004    0.000 cbook.py:348(process)
     2301    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      832    0.002    0.000    0.014    0.000 queues.py:86(put)
     2551    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
     3322    0.002    0.000    0.003    0.000 __init__.py:100(check_in_list)
       23    0.002    0.000    0.011    0.000 column.py:1581(_init_from_table)
      864    0.002    0.000    0.004    0.000 threading.py:256(__init__)
     1277    0.002    0.000    0.004    0.000 records.py:451(__setattr__)
     1480    0.002    0.000    0.003    0.000 cbook.py:2010(_setattr_cm)
     4880    0.002    0.000    0.004    0.000 threading.py:293(_is_owned)
      594    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
     2439    0.002    0.000    0.002    0.000 records.py:417(__getattribute__)
      608    0.002    0.000    0.015    0.000 card.py:995(_format_image)
     6423    0.002    0.000    0.002    0.000 _type_check_impl.py:171(_is_type_dispatcher)
      800    0.002    0.000    0.020    0.000 process.py:434(process_result_item)
      748    0.002    0.000    0.003    0.000 font_manager.py:1175(score_family)
     8288    0.002    0.000    0.002    0.000 connection.py:134(_check_closed)
       46    0.002    0.000    0.002    0.000 {built-in method nt._path_exists}
 2898/782    0.002    0.000    0.003    0.000 util.py:158(itersubclasses)
5376/3426    0.002    0.000    0.013    0.000 {built-in method builtins.setattr}
      890    0.002    0.000    0.004    0.000 transforms.py:749(__init__)
     6080    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      464    0.002    0.000    0.066    0.000 header.py:892(set)
     3290    0.002    0.000    0.002    0.000 process.py:247(sentinel)
      150    0.002    0.000    0.002    0.000 {built-in method builtins.__build_class__}
     1023    0.002    0.000    0.003    0.000 card.py:233(keyword)
       23    0.002    0.000    0.098    0.004 header.py:82(_bintable_header_to_image_header)
      234    0.002    0.000    0.006    0.000 transforms.py:560(count_contains)
        7    0.002    0.000    0.056    0.008 header.py:226(_image_header_to_empty_bintable)
       30    0.002    0.000    0.032    0.001 _tiled_compression.py:156(_check_compressed_header)
     3400    0.001    0.000    0.002    0.000 connection.py:168(fileno)
     4378    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     1465    0.001    0.000    0.001    0.000 {built-in method sys.getwindowsversion}
     3345    0.001    0.000    0.001    0.000 {built-in method math.ceil}
   352/88    0.001    0.000    0.013    0.000 copy.py:217(_deepcopy_dict)
      816    0.001    0.000    0.008    0.000 threading.py:595(set)
      800    0.001    0.000    0.002    0.000 _base.py:428(result)
     1640    0.001    0.000    0.001    0.000 {method '_is_zero' of '_multiprocessing.SemLock' objects}
     5998    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
       53    0.001    0.000    0.002    0.000 file.py:301(readarray)
     1632    0.001    0.000    0.001    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
       61    0.001    0.000    0.002    0.000 header.py:2043(fromfile)
       93    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      608    0.001    0.000    0.010    0.000 card.py:956(_format_value)
     1616    0.001    0.000    0.007    0.000 threading.py:403(notify_all)
  280/196    0.001    0.000    0.003    0.000 transforms.py:2431(get_affine)
      104    0.001    0.000    0.005    0.000 lines.py:672(recache)
      800    0.001    0.000    0.003    0.000 queue.py:122(put)
      800    0.001    0.000    0.003    0.000 threading.py:494(release)
2338/1770    0.001    0.000    0.010    0.000 {built-in method builtins.next}
     1741    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        7    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
